subid,month,sum_n,sum_prompts,adherence
1100,4,14,30,0.4666666666666667
1100,5,18,30,0.6
1100,6,15,30,0.5
1100,7,23,30,0.7666666666666667
1100,8,16,30,0.5333333333333333
1100,9,23,30,0.7666666666666667
1100,10,25,30,0.8333333333333334
1100,11,26,30,0.8666666666666667
1100,12,14,20,0.7
1102,1,19,30,0.6333333333333333
1102,2,23,30,0.7666666666666667
1102,3,22,30,0.7333333333333333
1102,4,20,30,0.6666666666666666
1102,5,21,30,0.7
1102,6,25,30,0.8333333333333334
1102,7,19,30,0.6333333333333333
1102,8,24,30,0.8
1102,9,22,30,0.7333333333333333
1102,10,17,30,0.5666666666666667
1102,11,12,30,0.4
1104,1,19,30,0.6333333333333333
1104,2,7,30,0.23333333333333334
1104,3,14,30,0.4666666666666667
1104,4,6,30,0.2
1104,5,1,30,0.03333333333333333
1104,6,5,30,0.16666666666666666
1104,7,4,19,0.21052631578947367
1106,1,30,30,1
1106,2,26,30,0.8666666666666667
1106,3,30,30,1
1106,4,30,30,1
1106,5,30,30,1
1106,6,30,30,1
1106,7,29,30,0.9666666666666667
1106,8,26,30,0.8666666666666667
1106,9,26,30,0.8666666666666667
1106,10,30,30,1
1106,11,28,30,0.9333333333333333
1106,12,30,30,1
1108,1,27,30,0.9
1108,2,27,30,0.9
1108,3,17,30,0.5666666666666667
1108,4,4,30,0.13333333333333333
1108,5,0,30,0
1108,6,2,30,0.06666666666666667
1108,7,2,30,0.06666666666666667
1108,8,2,6,0.3333333333333333
1109,1,29,30,0.9666666666666667
1109,2,22,30,0.7333333333333333
1109,3,15,30,0.5
1109,4,7,30,0.23333333333333334
1109,5,16,30,0.5333333333333333
1109,6,12,30,0.4
1109,7,11,30,0.36666666666666664
1109,8,0,30,0
1109,9,0,4,0
1110,1,23,30,0.7666666666666667
1110,2,28,30,0.9333333333333333
1110,3,18,30,0.6
1110,4,29,30,0.9666666666666667
1110,5,30,30,1
1110,6,30,30,1
1110,7,22,30,0.7333333333333333
1110,8,16,30,0.5333333333333333
1110,9,30,30,1
1110,10,30,30,1
1110,11,20,30,0.6666666666666666
1110,12,23,27,0.8518518518518519
1111,1,27,30,0.9
1111,2,29,30,0.9666666666666667
1111,3,23,30,0.7666666666666667
1111,4,24,30,0.8
1111,5,11,30,0.36666666666666664
1111,6,11,30,0.36666666666666664
1111,7,14,30,0.4666666666666667
1111,8,22,30,0.7333333333333333
1111,9,15,30,0.5
1111,10,15,30,0.5
1111,11,5,20,0.25
1112,1,29,30,0.9666666666666667
1112,2,29,30,0.9666666666666667
1112,3,30,30,1
1112,4,30,30,1
1112,5,29,30,0.9666666666666667
1112,6,30,30,1
1112,7,29,30,0.9666666666666667
1112,8,25,30,0.8333333333333334
1112,9,25,30,0.8333333333333334
1112,10,27,30,0.9
1112,11,24,30,0.8
1112,12,18,30,0.6
1113,1,26,30,0.8666666666666667
1113,2,25,30,0.8333333333333334
1113,3,24,30,0.8
1113,4,24,30,0.8
1113,5,16,30,0.5333333333333333
1113,6,15,30,0.5
1113,7,20,30,0.6666666666666666
1113,8,14,30,0.4666666666666667
1113,9,18,30,0.6
1113,10,23,30,0.7666666666666667
1113,11,19,30,0.6333333333333333
1113,12,16,30,0.5333333333333333
1114,1,24,30,0.8
1114,2,24,30,0.8
1114,3,25,30,0.8333333333333334
1114,4,22,30,0.7333333333333333
1114,5,23,30,0.7666666666666667
1114,6,7,30,0.23333333333333334
1114,7,26,30,0.8666666666666667
1114,8,23,30,0.7666666666666667
1114,9,26,30,0.8666666666666667
1114,10,22,30,0.7333333333333333
1114,11,26,30,0.8666666666666667
1114,12,19,23,0.8260869565217391
1115,1,26,30,0.8666666666666667
1115,2,17,30,0.5666666666666667
1115,3,8,30,0.26666666666666666
1115,4,9,30,0.3
1115,5,7,30,0.23333333333333334
1115,6,8,30,0.26666666666666666
1115,7,1,5,0.2
1116,1,22,30,0.7333333333333333
1116,2,26,30,0.8666666666666667
1116,3,25,30,0.8333333333333334
1116,4,20,30,0.6666666666666666
1116,5,15,30,0.5
1116,6,18,28,0.6428571428571429
1117,1,22,30,0.7333333333333333
1117,2,15,26,0.5769230769230769
1118,1,27,30,0.9
1118,2,28,30,0.9333333333333333
1118,3,28,30,0.9333333333333333
1118,4,23,30,0.7666666666666667
1118,5,25,30,0.8333333333333334
1118,6,22,30,0.7333333333333333
1118,7,13,30,0.43333333333333335
1118,8,19,30,0.6333333333333333
1118,9,25,30,0.8333333333333334
1118,10,23,30,0.7666666666666667
1118,11,22,30,0.7333333333333333
1118,12,24,30,0.8
1121,1,30,30,1
1121,2,28,30,0.9333333333333333
1121,3,29,30,0.9666666666666667
1121,4,27,30,0.9
1121,5,25,30,0.8333333333333334
1121,6,27,30,0.9
